epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3667.64,0.74829,0.32896,0.92239,0.99915,0.99994,0.995,0.83737,0.72091,0.26711,0.89671,0.000990365,0.000990365,0.000990365
43,3805.22,0.73375,0.32826,0.91392,0.99878,0.99986,0.99498,0.83703,0.71743,0.26147,0.897,0.000973861,0.000973861,0.000973861
44,3941.97,0.73118,0.32069,0.91142,0.99758,0.99917,0.99493,0.83549,0.72952,0.26606,0.89902,0.000957358,0.000957358,0.000957358
45,4079.01,0.73749,0.32167,0.91576,0.99815,1,0.99499,0.83506,0.72652,0.26441,0.89732,0.000940855,0.000940855,0.000940855
46,4192.83,0.73657,0.32256,0.91906,0.99864,0.99936,0.99499,0.83412,0.71476,0.26483,0.89714,0.000924352,0.000924352,0.000924352
47,4304.13,0.7403,0.32255,0.92039,0.99971,1,0.995,0.83708,0.71516,0.26312,0.89672,0.000907848,0.000907848,0.000907848
48,4424.85,0.73048,0.31819,0.91467,0.99824,1,0.99499,0.83267,0.71281,0.25719,0.89706,0.000891345,0.000891345,0.000891345
49,4562.99,0.72515,0.31587,0.91661,0.99976,1,0.995,0.83916,0.7092,0.25619,0.89408,0.000874842,0.000874842,0.000874842
50,4700.22,0.72645,0.31636,0.91709,0.99969,1,0.995,0.83762,0.71384,0.25676,0.89646,0.000858338,0.000858338,0.000858338
51,4842.08,0.72424,0.31669,0.91564,0.99892,1,0.995,0.83667,0.72348,0.26147,0.89776,0.000841835,0.000841835,0.000841835
52,4981.19,0.72585,0.31479,0.91366,0.99979,1,0.995,0.83489,0.7168,0.25731,0.89793,0.000825332,0.000825332,0.000825332
53,5117.9,0.72882,0.3173,0.91453,0.99936,1,0.995,0.83747,0.7173,0.25656,0.89642,0.000808828,0.000808828,0.000808828
54,5256.73,0.73032,0.31531,0.91456,0.99832,0.99971,0.995,0.83913,0.71555,0.25727,0.89533,0.000792325,0.000792325,0.000792325
55,5395.93,0.72809,0.31377,0.91392,0.999,0.99992,0.995,0.84025,0.71018,0.25113,0.89479,0.000775822,0.000775822,0.000775822
